msgID,autID,disID,theID,ts,inCir
512,249,66,2,2017-01-30 15:44:25,False
513,250,278,2,2017-07-21 05:05:41,False
514,136,279,2,2018-10-31 08:48:43,False
515,251,125,2,2017-05-13 13:54:28,False
516,252,280,2,2018-02-27 12:12:05,False
517,253,281,2,2017-11-05 12:43:33,False
518,15,15,2,2016-08-15 09:01:39,False
519,80,282,2,2017-07-21 06:04:47,False
520,15,15,2,2016-08-15 09:06:03,False
521,254,283,2,2017-07-21 03:43:15,False
522,255,284,2,2018-10-31 08:55:07,False
523,256,241,2,2016-07-13 09:20:54,False
524,6,285,2,2017-07-21 07:17:06,False
525,124,57,1,2016-12-09 03:48:15,False
526,86,286,1,2017-07-21 03:21:27,False
527,4,287,1,2017-07-21 06:20:22,False
528,9,288,1,2017-07-21 04:47:39,False
